Index Type	Index Volume	Index Page	Entry Order	Subject	Type	Detail	Detail Prefix Added	Citation Order	Citation Law Type	Citation Year	Citation Session	Citation Session Type	Citation Volume	Citation Page	Citation Page Range	Citation Chapter	Citation Bill Type	Citation Bill Number
Va. Acts Index	1960-1965	5	1	ACCOMACK COUNTY	Citation	Clerks of boards; increase of salaries in Accomack, Amelia, Caroline, Essex, Giles, Henry, Highland, King and Queen, King George, Montgomery, Patrick, Prince George, Scott, Southampton, Sussex and Wise Counties. Amending § 15-239	f	1	Va. Acts	1960				107		87	S.B.	47
Va. Acts Index	1960-1965	5	2	ACCOMACK COUNTY	Citation	Clerks' offices, courts of record; closing on county holidays in Hanover, Culpeper, Northampton, Accomack and Roanoke Counties. Amending § 17-41	f	1	Va. Acts	1960				30		25	H.B.	34
Va. Acts Index	1960-1965	5	3	ACCOMACK COUNTY	Citation	Constitutionality of §§ 15.1-115 to 15.1-124 relating to county executive secretaries; deletes provision excepting Norfolk County and provisions for a referendum in Accomack County. Amending § 15.1-125	f	1	Va. Acts	1964				681		413	H.B.	230
Va. Acts Index	1960-1965	5	4	ACCOMACK COUNTY	Citation	County executive secretaries; deleting Accomack County from exemptions to provisions, providing for referendum. Amending § 15-551.11 (enacted by Chapter 248 of 1950 Acts).	f	1	Va. Acts	1962				664		408	H.B.	16
Va. Acts Index	1960-1965	5	5	ACCOMACK COUNTY	Citation	Dog license; evidence of inoculation for rabies required before issuance of tag; excepting Accomack and Northampton Counties and allowing adoption of mandatory inoculation by legal ordinance. Amending § 29-188.1.	f	1	Va. Acts	1964				720		449	H.B.	383
Va. Acts Index	1960-1965	5	6	ACCOMACK COUNTY	Citation	Margaret Academy; trustees expending principal of certain funds on approval of judge of circuit court of Accomack County. Amending Chapter 139, 1946 Acts	f	1	Va. Acts	1960				371		316	S.B.	225
Va. Acts Index	1960-1965	5	7	ACCOMACK COUNTY	Citation	Onancock, charter; new	f	1	Va. Acts	1962				69		53	H.B.	17
Va. Acts Index	1960-1965	5	8	ACCOMACK COUNTY	Citation	Relief; Judge, Freida V. and James M. (quit claim deed to parcel of land in Accomack County).	f	1	Va. Acts	1964				780		510	H.B.	535
Va. Acts Index	1960-1965	5	9	ACCOMACK COUNTY	Citation	Relief, Judge, Freida V. and James M. (quit claim deed to parcel of land in Accomack County). Repealing Chapter 510, Acts 1964	f	1	Va. Acts	1964	Extra			13		18	H.B.	15
Va. Acts Index	1960-1965	5	10	ACCOMACK COUNTY	Citation	School board; increase of salaries in the counties of Accomack, Fairfax, Fluvanna, Isle of Wight, Louisa, Lunenburg, Montgomery, Nansemond, Pittsylvania, Prince William, Shenandoah and Southampton. Amending § 22-67.2.	f	1	Va. Acts	1964				234		166	H.B.	71
Va. Acts Index	1960-1965	5	11	ACCOMACK COUNTY	Citation	Supervisors, County boards of; increasing compensation in twentythree counties, including chairmen in Franklin and Washington Counties. Amending § 14-56.1.	f	1	Va. Acts	1960				191		182	S.B.	44
Va. Acts Index	1960-1965	5	12	ACCOUNTANTS AND ACCOUNTING	Citation	Accounting and bookkeeping; Virginia Advisory Legislative Council to study the laws	f	1	Va. Acts	1960				1079			H.J.R.	48
Va. Acts Index	1960-1965	5	13	ACCOUNTANTS AND ACCOUNTING	Citation	Certified public accountants, Board of Examiners, per diem allowances. Amending § 54-98	f	1	Va. Acts	1960				65		61	S.B.	153
Va. Acts Index	1960-1965	5	14	ACCOUNTANTS AND ACCOUNTING	Citation	Certified public accountants; certification requirements, when examination may be waived. Amending §§ 54-89 and 54-93	f	1	Va. Acts	1960				194		183	S.B.	65
Va. Acts Index	1960-1965	5	15	ACCOUNTANTS AND ACCOUNTING	Citation	Certified public accountants; fee for certificate, increasing fee for subsequent examination in case of failure to take on specified date. Amending § 54-95	f	1	Va. Acts	1962				147		82	S.B.	44
Va. Acts Index	1960-1965	5	16	ACCOUNTANTS AND ACCOUNTING	Citation	Certified public accountants; unlawful for any person who is not registered by the Board to represent himself to be a public accountant in advertising or any other form of representation, oral or written. Amending § 54-100	f	1	Va. Acts	1964				425		226	S.B.	27
Va. Acts Index	1960-1965	5	17	ACCOUNTANTS AND ACCOUNTING	Citation	Fiscal year, uniform, prescribed for all cities and city and town school boards; requires cities to adopt uniform fiscal year accounting procedures not later than July one, nineteen hundred sixty-six	f	1	Va. Acts	1964				696		426	H.B.	263
Va. Acts Index	1960-1965	6	1	ACCOUNTS AND PURCHASES, BOARD OF	Citation	Purchases and Supply, Department of; appeals from the Director, creating the Board of Purchases and Supply, abolishing the Board of Accounts and Purchases. Amending §§ 2-222 and 2-267; adding § 2-211.1; repealing § 2-161.1.	f	1	Va. Acts	1960				279		215	H.B.	179
Va. Acts Index	1960-1965	6	2	ACKNOWLEDGMENTS	See	See: "Property and Conveyances"	f	1										
Va. Acts Index	1960-1965	6	3	ACTIONS AND SUITS	Citation	Actions for personal injury to infant, idiot or insane; compromise to include claims under the provisions of an automobile insurance policy. Amending § 8-170	f	1	Va. Acts	1960				359		302	H.B.	672
Va. Acts Index	1960-1965	6	4	ACTIONS AND SUITS	Citation	Appeals, writs of error or supersedeas; limitations of, exception. Amending § 8-489	f	1	Va. Acts	1964				14		7	S.B.	2
Va. Acts Index	1960-1965	6	5	ACTIONS AND SUITS	Citation	Compromise of claims for personal injury to infants or insane, feebleminded or incompetent persons. Amending § 8-170	f	1	Va. Acts	1964				771		500	H.B.	517
Va. Acts Index	1960-1965	6	6	ACTIONS AND SUITS	Citation	Contracts, action on; defendant filing affidavit denying claim with motion for judgment or civil warrant, continuance. Amending § 8-511	f	1	Va. Acts	1960				667		426	S.B.	130
Va. Acts Index	1960-1965	6	7	ACTIONS AND SUITS	Citation	Death by wrongful act; compromise of claims by personal representative, deleting as to consent of persons entitled to damages. Amending § 8-639	f	1	Va. Acts	1960				43		35	H.B.	2
Va. Acts Index	1960-1965	6	8	ACTIONS AND SUITS	Citation	Deed of trust; default in payment of debt secured, where auction to be held, duties, rights, etc., of parties. Amending § 55-59	f	1	Va. Acts	1964				772		501	H.B.	518
Va. Acts Index	1960-1965	6	9	ACTIONS AND SUITS	Citation	Limitation of suits; certain actions for damages arising out of defective or unsafe condition of improvements to real property. Adding § 8-24.2.	f	1	Va. Acts	1964				540		333	S.B.	268
Va. Acts Index	1960-1965	6	10	ACTIONS AND SUITS	Citation	On behalf of infants, idiots or insane; compromise to include claims under provisions of an automobile insurance policy. Amending § 8-169	f	1	Va. Acts	1960				358		301	H.B.	670
Va. Acts Index	1960-1965	6	11	ACTIONS AND SUITS	Citation	Personal injury; no action lost by death of person liable or person having right of action, "provided said person's subsequent death was not occasioned by the acts giving rise to such cause of action". Amending § 8-628.1.	f	1	Va. Acts	1964				51		34	H.B.	177
Va. Acts Index	1960-1965	6	12	ACTIONS AND SUITS	Citation	Personal jurisdiction in certain actions; person defined, when personal jurisdiction over person may be exercised, service of process or notice, venue, etc. Adding §§ 8-81.1 through 8-81.5.	f	1	Va. Acts	1964				538		331	S.B.	266
Va. Acts Index	1960-1965	6	13	ACTIONS AND SUITS	Citation	Suits by and against unincorporated companies; how process served and by whom, Amending §§ 8-47 and 8-66; adding § 8-66.1.	f	1	Va. Acts	1962				358		250	S.B.	187
Va. Acts Index	1960-1965	6	14	ACTIONS AND SUITS	Citation	Suits, motions or proceedings pending; removal to another court in same judicial circuit. Amending §§ 8-157 and 8-158	f	1	Va. Acts	1960				876		569	H.B.	680
Va. Acts Index	1960-1965	6	15	ACTIONS AND SUITS	Citation	Suits to enforce lien of judgment against lands conveyed by judgment debtor to grantee; recordation of notice of lis pendens. Amending § 8-393	f	1	Va. Acts	1960				345		274	H.B.	408
Va. Acts Index	1960-1965	6	16	ACTIONS AND SUITS	Citation	Witnesses, contradiction by prior inconsistent writing; exceptions as to action on an insurance policy for personal injury or death by wrongful act. Amending § 8-293	f	1	Va. Acts	1960				124		114	H.B.	196
Va. Acts Index	1960-1965	6	17	ACTS OF ASSEMBLY	Citation	Bills, preparation of; providing for method of compliance with Section 52 of the Constitution, validating references to certain section numbers given by the Code Commission. Adding § 1-13.38	f	1	Va. Acts	1962				523		378	S.B.	242
Va. Acts Index	1960-1965	7	1	ACTS OF ASSEMBLY	Citation	Census of 1960; population classification, effect as to Acts of Assembly and Code of Virginia. Amending § 1-13.35	f	1	Va. Acts	1962				448		315	S.B.	113
Va. Acts Index	1960-1965	7	2	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Administrative departments and divisions of the State; adds Department of Technical Education to list. Amending § 2-1.	f	1	Va. Acts	1964				675		406	H.B.	206
Va. Acts Index	1960-1965	7	3	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Annual report of the State Comptroller to the Governor on or before fifteenth day of August. Amending § 2-175	f	1	Va. Acts	1960				106		84	H.B.	256
Va. Acts Index	1960-1965	7	4	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Attorney General; providing legal services to Commonwealth's Attorney in proceedings against him to restrain his enforcement of any State law. Adding § 2-86.2.	f	1	Va. Acts	1962				342		235	H.B.	465
Va. Acts Index	1960-1965	7	5	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Banks closing on Saturday in Montgomery County and Radford. Amending § 2-20.1.	f	1	Va. Acts	1960				896		588	H.B.	673
Va. Acts Index	1960-1965	7	6	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Banks; permissive closing on Saturday, deleting local applications. Amending § 2-20.1.	f	1	Va. Acts	1962				3		2	H.B.	26
Va. Acts Index	1960-1965	7	7	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Bond issues by educational institutions; includes § 2-279.1 within provisions of law which govern. Amending § 23-29	f	1	Va. Acts	1964				122		90	H.B.	426
Va. Acts Index	1960-1965	7	8	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Bond issues of State agencies, destruction by State Treasurer of all coupons and bonds paid by him and canceled after three years, following audit by Auditor; bond issues of educational institutions, State Treasurer acting as paying or fiscal agent. Repealing §§ 2-272, 2-278 and 2-279; adding § 2-279.1; amending § 23-29	f	1	Va. Acts	1962				906		577	H.B.	658
Va. Acts Index	1960-1965	7	9	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Bookkeeping and accounting for State and local offices; conforming ing to division of Department of Accounts and Purchases. Amending § 2-128	f	1	Va. Acts	1960				308		237	H.B.	178
Va. Acts Index	1960-1965	7	10	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget estimates by State agencies; Insurance Reserve Trust Fund, terms and conditions of administration; Bureau of Property Records and Insurance, established as separate agency of the State Government; State Insurance Board, defining powers and duties. Amending §§ 2-48, 2-77.10, 2-77.11 and 2-77.12	f	1	Va. Acts	1964				173		125	H.B.	82
Va. Acts Index	1960-1965	7	11	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Budget system; powers and duties of the Director of the Division of the Budget, to include the requisitioning of catalogs of State supported institutions of higher learning. Amending § 2-47	f	1	Va. Acts	1964				513		302	S.B.	191
Va. Acts Index	1960-1965	7	12	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Comptroller, State; destruction of certain records over two years old after micro-filming; abolishing as to keeping accounts of certain agencies. Amending §§ 2-174 and 2-193; repealing §§ 2-164 and 2-171	f	1	Va. Acts	1960				310		240	H.B.	258
Va. Acts Index	1960-1965	7	13	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Deposit of public funds not an investment; increases maximum deposit period to one year. Amending § 2-299	f	1	Va. Acts	1964				576		367	S.B.	344
Va. Acts Index	1960-1965	7	14	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Director of Budget authorized, with approval of Governor, to lease property owned by Commonwealth near Capitol Square, rental paid into general fund. Adding § 2-66.2.	f	1	Va. Acts	1962				388		262	H.B.	503
Va. Acts Index	1960-1965	7	15	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Disabilities to hold office; exempting United States park commissioners and judges of courts not of record from holding certain offices. Amending § 2-29	f	1	Va. Acts	1962				354		247	S.B.	107
Va. Acts Index	1960-1965	7	16	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Easements, conveyance to utility companies and political subdivisions by State departments, agencies or institutions; includes public service corporations or companies within provisions. Amending § 2-4.2.	f	1	Va. Acts	1964				468		264	S.B.	110
Va. Acts Index	1960-1965	7	17	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Flour; purchase of other than soft winter wheat for special purposes at certain State supported institutions, exceptions. Amending § 2-259	f	1	Va. Acts	1960				280		216	H.B.	180
Va. Acts Index	1960-1965	8	1	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Government, advocacy of change by force, violence, or other unlawful means; considered felony, penalties for violation. Amending § 18.1-421	f	1	Va. Acts	1962				480		343	S.B.	184
Va. Acts Index	1960-1965	8	2	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Industrial Development and Planning, Division of; duties and powers under supervision of the Governor. Amending § 2-57.01	f	1	Va. Acts	1964				536		328	S.B.	253
Va. Acts Index	1960-1965	8	3	ADMINISTRATION OF THE GOVERNMENT GENERALLY	Citation	Industrial Development and Planning, Division of; transferring to office of the Governor, appointment of Director and Advisory Board, duties and functions. Amending § 2-34; adding § 2-57.1.	f	1	Va. Acts	1962				493		356	S.B.	206
